ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,,ECG
RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
IBI,IBI,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursts,Bursts,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppr,Suppr,,,,,,,,,,,,,,,,,,,,,,,,,,
G 11,,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,G 11,,G 11
G 12,,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,G 12,,G 12
G 13,,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,G 13,,G 13
G 14,,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,G 14,,G 14
G 15,,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,G 15,,G 15
G 16,,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,G 16,,G 16
G 17,,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,G 17,,G 17
G 18,,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,G 18,,G 18
G 19,,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,G 19,,G 19
G 20,,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,G 20,,G 20
G 21,,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,G 21,,G 21
G 22,,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,G 22,,G 22
G 23,,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,G 23,,G 23
G 24,,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,G 24,,G 24
G 25,,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,G 25,,G 25
G 26,,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,G 26,,G 26
G 27,,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,G 27,,G 27
G 28,,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,G 28,,G 28
G 29,,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,G 29,,G 29
G 30,,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,G 30,,G 30
G 31,,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,G 31,,G 31
G 32,,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,G 32,,G 32
G 33,,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,G 33,,G 33
G 34,,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,G 34,,G 34
G 35,,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,G 35,,G 35
G 36,,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,G 36,,G 36
G 37,,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,G 37,,G 37
G 38,,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,G 38,,G 38
G 39,,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,G 39,,G 39
G 40,,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,G 40,,G 40
G 41,,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,G 41,,G 41
G 42,,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,G 42,,G 42
