cha_labels,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_97d30c14-8ed7-4b1e-b930-ddc50dc7133f.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_bb15db22-5c04-49d3-8034-b3f131f3c9d9.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_c5d8db0e-fef4-4aed-9060-1e1c72e8720c.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_eeb1b4ca-5a74-41c3-8ec0-7602f6749628.edf
Event,Event,Event,Event,Event
MOT4,,MOT4,MOT4,
MOT5,,MOT5,MOT5,
MOT6,,MOT6,MOT6,
MOT7,,MOT7,MOT7,
MOT8,,MOT8,MOT8,
MOT9,,MOT9,MOT9,
MOT10,,MOT10,MOT10,
SEN1,,SEN1,SEN1,
SEN2,,SEN2,SEN2,
SEN3,,SEN3,SEN3,
SEN4,,SEN4,SEN4,
SEN5,,SEN5,SEN5,
SEN6,,SEN6,SEN6,
SEN7,,SEN7,SEN7,
SEN8,,SEN8,SEN8,
SEN9,,SEN9,SEN9,
SEN10,,SEN10,SEN10,
PAR1,,PAR1,PAR1,
PAR2,,PAR2,PAR2,
PAR3,,PAR3,PAR3,
PAR4,,PAR4,PAR4,
PAR5,,PAR5,PAR5,
PAR6,,PAR6,PAR6,
PAR7,,PAR7,PAR7,
PAR8,,PAR8,PAR8,
PAR9,,PAR9,PAR9,
PAR10,,PAR10,PAR10,
INS1,,INS1,INS1,
INS2,,INS2,INS2,
INS3,,INS3,INS3,
INS4,,INS4,INS4,
INS5,,INS5,INS5,
INS6,,INS6,INS6,
INS7,,INS7,INS7,
INS8,,INS8,INS8,
INS9,,INS9,INS9,
INS10,,INS10,INS10,
TEMP1,,TEMP1,TEMP1,
TEMP2,,TEMP2,TEMP2,
TEMP3,,TEMP3,TEMP3,
TEMP4,,TEMP4,TEMP4,
TEMP5,,TEMP5,TEMP5,
TEMP6,,TEMP6,TEMP6,
TEMP7,,TEMP7,TEMP7,
TEMP8,,TEMP8,TEMP8,
TEMP9,,TEMP9,TEMP9,
TEMP10,,TEMP10,TEMP10,
RSMA1,,RSMA1,RSMA1,
RSMA2,,RSMA2,RSMA2,
RSMA3,,RSMA3,RSMA3,
RSMA4,,RSMA4,RSMA4,
RSMA5,,RSMA5,RSMA5,
RSMA6,,RSMA6,RSMA6,
RSMA7,,RSMA7,RSMA7,
RSMA8,,RSMA8,RSMA8,
RSMA9,,RSMA9,RSMA9,
RSMA10,,RSMA10,RSMA10,
ECG1,,ECG1,ECG1,
ECG2,,ECG2,ECG2,
OSAT,,OSAT,OSAT,
